PreCalc Pretest,Algebra Pretest,Course Term,Student Year,Calc Grade
100,94,15/FA,SO,A
100,87,15/FA,SO,A-
100,90,15/SP,FR,A+
100,100,16/FA,FR,A
100,97,16/FA,SO,A
100,97,16/FA,FR,B+
100,100,17/FA,SO,A
100,97,17/FA,FR,A
96,100,14/SP,SO,A+
96,100,15/FA,FR,A
96,100,15/FA,FR,C-
96,100,15/FA,SO,B+
96,97,15/FA,FR,A
96,97,15/FA,FR,A
96,90,15/FA,FR,A
96,87,15/FA,FR,B+
96,94,15/SP,JR,A-
96,94,15/SP,FR,W
96,90,15/SP,SO,A
96,100,16/FA,FR,F
96,100,16/FA,FR,A
96,97,16/FA,JR,A
96,97,16/FA,FR,B
96,94,16/FA,FR,B+
96,84,16/FA,FR,B-
96,100,17/FA,FR,A-
96,97,17/FA,FR,A
96,97,17/SP,FR,A
96,97,17/SP,FR,A
93,100,13/FA,FR,A+
93,94,13/FA,FR,A
93,90,13/FA,FR,A
93,97,14/FA,FR,B
93,100,15/FA,SO,A
93,100,15/FA,FR,A-
93,97,15/FA,SO,B-
93,94,15/FA,FR,A
93,94,15/FA,FR,A
93,94,15/SP,FR,C+
93,100,16/FA,SO,A
93,97,16/FA,FR,B-
93,94,16/FA,FR,B
93,90,16/FA,SO,B
93,90,16/FA,FR,B
93,90,16/FA,FR,W
93,97,16/SP,SO,A
93,97,16/SP,FR,A
93,97,16/SP,SO,B+
93,97,16/SP,FR,B+
93,84,16/SP,FR,A-
93,100,17/FA,JR,A+
93,100,17/FA,FR,A
93,97,17/FA,FR,A-
93,81,17/FA,FR,B+
90,96,16/SP,FR,A
89,100,13/FA,FR,A
89,97,13/FA,FR,A-
89,97,13/FA,FR,A
89,97,13/FA,FR,C
89,94,13/FA,FR,A+
89,87,13/FA,FR,A
89,97,14/FA,FR,A
89,90,14/FA,SO,B+
89,87,14/FA,FR,A
89,100,15/FA,FR,A-
89,97,15/FA,FR,A
89,90,15/FA,FR,C-
89,97,15/SP,FR,B
89,94,15/SP,FR,A
89,97,16/FA,FR,F
89,94,16/FA,FR,A-
89,94,16/FA,FR,B+
89,87,16/FA,SO,W
89,87,16/FA,FR,B
89,87,16/FA,FR,A
89,100,16/SP,FR,B-
89,94,16/SP,FR,B
89,100,17/FA,FR,A-
89,100,17/FA,FR,F
89,97,17/FA,FR,A-
89,97,17/FA,FR,C+
89,87,17/FA,FR,A
89,81,17/FA,SO,A-
89,81,17/FA,FR,A
89,97,17/SP,JR,C
89,90,17/SP,FR,C+
89,87,17/SP,FR,A
86,97,13/FA,FR,B
86,94,13/FA,FR,B
86,94,13/FA,FR,A
86,94,14/FA,SO,A-
86,100,15/FA,SO,C+
86,90,15/FA,FR,B
86,6,15/FA,FR,B+
86,94,15/SP,FR,A
86,90,15/SP,SO,A
86,90,15/SP,FR,A
86,100,16/FA,FR,A
86,97,16/FA,SO,A
86,97,16/FA,FR,C+
86,94,16/FA,FR,D+
86,94,16/FA,FR,B
86,84,16/FA,FR,B+
86,97,17/FA,FR,C+
86,97,17/FA,FR,D-
86,94,17/FA,FR,B
86,94,17/FA,FR,A
86,90,17/FA,FR,A
86,100,17/SP,FR,A
86,97,17/SP,JR,C+
86,81,17/SP,FR,A
84,75,15/SP,FR,W
82,77,13/FA,FR,C
82,90,14/FA,FR,B+
82,87,14/FA,FR,A
82,100,15/FA,FR,A
82,97,15/FA,FR,B
82,90,15/FA,SO,C+
82,90,15/FA,SO,A
82,84,15/FA,FR,D-
82,84,15/FA,FR,B
